sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
I am sure the people who died from not being able to buy $ 500 / vial of insulin are comforted by this meter;"mC;mE";"not being able to buy $ 500 / vial of insulin;meter";"died;comforted";1.0;['I', 'am', 'sure', 'the', 'people', 'who', 'died', 'from', 'not', 'being', 'able', 'to', 'buy', '$', '500', '/', 'vial', 'of', 'insulin', 'are', 'comforted', 'by', 'this', 'meter'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'I-E', 'O', 'O', 'I-C']
Type 1 diabetes is expensive .;;Type 1 diabetes;expensive;1;['Type', '1', 'diabetes', 'is', 'expensive', '.'];['I-C', 'I-C', 'I-C', 'O', 'I-E', 'O']
Sooo I 'm starting to get a skin reaction from my insulin .;;insulin;skin reaction;1.0;"['Sooo', 'I', ""'m"", 'starting', 'to', 'get', 'a', 'skin', 'reaction', 'from', 'my', 'insulin', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O']
There have been times where I was worried she was going to die bc her sugars were too high and I did n't have anything to give her;;sugars were too high;die;1;"['There', 'have', 'been', 'times', 'where', 'I', 'was', 'worried', 'she', 'was', 'going', 'to', 'die', 'bc', 'her', 'sugars', 'were', 'too', 'high', 'and', 'I', 'did', ""n't"", 'have', 'anything', 'to', 'give', 'her']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
He has diabetes so he gets cold very quickly xx;;diabetes;gets cold;1;['He', 'has', 'diabetes', 'so', 'he', 'gets', 'cold', 'very', 'quickly', 'xx'];['O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O']
USER for me with my diabetes the cold weather usually lowers my blood sugar levels whereas the heat makes my levels rise;;cold weather;lowers my blood sugar levels;1.0;['USER', 'for', 'me', 'with', 'my', 'diabetes', 'the', 'cold', 'weather', 'usually', 'lowers', 'my', 'blood', 'sugar', 'levels', 'whereas', 'the', 'heat', 'makes', 'my', 'levels', 'rise'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I feel better , but it is hard dieting and feeling hungry;;dieting;feel better;1;['I', 'feel', 'better', ',', 'but', 'it', 'is', 'hard', 'dieting', 'and', 'feeling', 'hungry'];['O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O']
My mom is a retired VA nurse and a pump dependent diabetic .;;diabetic;pump dependent;1;['My', 'mom', 'is', 'a', 'retired', 'VA', 'nurse', 'and', 'a', 'pump', 'dependent', 'diabetic', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-C', 'O']
USER USER Hell I can't afford the pump or the insulin with insurance .;;insurance;can't afford the pump;1;"['USER', 'USER', 'Hell', 'I', ""can't"", 'afford', 'the', 'pump', 'or', 'the', 'insulin', 'with', 'insurance', '.']";['O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'O']
#metformin increases glucose production in subjects with early onset of type 2 diabetes .;;#metformin;increases glucose production;1;['#metformin', 'increases', 'glucose', 'production', 'in', 'subjects', 'with', 'early', 'onset', 'of', 'type', '2', 'diabetes', '.'];['I-C', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Me when i have a hypo #type1diabetes :victory_hand: :victory_hand: HTTPURL;;#type1diabetes;hypo;1.0;['Me', 'when', 'i', 'have', 'a', 'hypo', '#type1diabetes', ':victory_hand:', ':victory_hand:', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'I-E', 'I-C', 'O', 'O', 'O']
I 've got a 13 year old girl , she 's blind and is diabetic I fear this day is n't too far from now this makes me sad .;mC;"blind;diabetic";fear;1;"['I', ""'ve"", 'got', 'a', '13', 'year', 'old', 'girl', ',', 'she', ""'s"", 'blind', 'and', 'is', 'diabetic', 'I', 'fear', 'this', 'day', 'is', ""n't"", 'too', 'far', 'from', 'now', 'this', 'makes', 'me', 'sad', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-C', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
think some people forget that the coronavirus can be fatal to the elderly , people with cancer , diabetes and lung disease .;;coronavirus;fatal to the elderly , people with cancer , diabetes;1;['think', 'some', 'people', 'forget', 'that', 'the', 'coronavirus', 'can', 'be', 'fatal', 'to', 'the', 'elderly', ',', 'people', 'with', 'cancer', ',', 'diabetes', 'and', 'lung', 'disease', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O']
USER nah I meant cancer because glucose can fuel cancer cells which helps it to spread :nerd_face:;;glucose;fuel cancer cells;1.0;['USER', 'nah', 'I', 'meant', 'cancer', 'because', 'glucose', 'can', 'fuel', 'cancer', 'cells', 'which', 'helps', 'it', 'to', 'spread', ':nerd_face:'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
I was diagnosed with Type 2 diabetes a few years back so did the same as you .;;Type 2 diabetes;;0;['I', 'was', 'diagnosed', 'with', 'Type', '2', 'diabetes', 'a', 'few', 'years', 'back', 'so', 'did', 'the', 'same', 'as', 'you', '.'];['O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Cut down on carbs , started cycling , walking etc .;mE;;"Cut down on carbs;started cycling;walking";0;['Cut', 'down', 'on', 'carbs', ',', 'started', 'cycling', ',', 'walking', 'etc', '.'];['I-E', 'I-E', 'I-E', 'I-E', 'O', 'I-E', 'I-E', 'O', 'I-E', 'O', 'O']
Me being a diabetic , I have been in this situation before and I think it 's complete bullshit that druggies can get free help when they overdose but us people with actual health issues have to pay this outrageous amount of money just to stay alive .;;diabetic;pay this outrageous amount of money;1.0;"['Me', 'being', 'a', 'diabetic', ',', 'I', 'have', 'been', 'in', 'this', 'situation', 'before', 'and', 'I', 'think', 'it', ""'s"", 'complete', 'bullshit', 'that', 'druggies', 'can', 'get', 'free', 'help', 'when', 'they', 'overdose', 'but', 'us', 'people', 'with', 'actual', 'health', 'issues', 'have', 'to', 'pay', 'this', 'outrageous', 'amount', 'of', 'money', 'just', 'to', 'stay', 'alive', '.']";['O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O']
What its like losing all glucose youve been love so much to 0 point of nothing .;;losing all glucose;;0;['What', 'its', 'like', 'losing', 'all', 'glucose', 'youve', 'been', 'love', 'so', 'much', 'to', '0', 'point', 'of', 'nothing', '.'];['O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Dizzy , bad apetite , hungry but yet feel so fucking disgust by everything .;mE;;"Dizzy;bad apetite;hungry";0;['Dizzy', ',', 'bad', 'apetite', ',', 'hungry', 'but', 'yet', 'feel', 'so', 'fucking', 'disgust', 'by', 'everything', '.'];['I-E', 'O', 'I-E', 'I-E', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Please , in honor of someone who died from being a diabetic , or is fighting Diabetes , or even had Diabetes , paste HTTPURL;;diabetic;died;1.0;['Please', ',', 'in', 'honor', 'of', 'someone', 'who', 'died', 'from', 'being', 'a', 'diabetic', ',', 'or', 'is', 'fighting', 'Diabetes', ',', 'or', 'even', 'had', 'Diabetes', ',', 'paste', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Despite almost dying 2x in the last 4 years , having a tumour & diabetes , my HoS thinks I should have been producing 4 * papers for the REF !;mC;"tumour;diabetes";dying;1.0;['Despite', 'almost', 'dying', '2x', 'in', 'the', 'last', '4', 'years', ',', 'having', 'a', 'tumour', '&', 'diabetes', ',', 'my', 'HoS', 'thinks', 'I', 'should', 'have', 'been', 'producing', '4', '*', 'papers', 'for', 'the', 'REF', '!'];['O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Using an insulin with a curve you 're not familiar with is dangerous business but I guess potentially dying from a hypo is better than dying from DKA .;mC;"hypo;DKA";dying;1;"['Using', 'an', 'insulin', 'with', 'a', 'curve', 'you', ""'re"", 'not', 'familiar', 'with', 'is', 'dangerous', 'business', 'but', 'I', 'guess', 'potentially', 'dying', 'from', 'a', 'hypo', 'is', 'better', 'than', 'dying', 'from', 'DKA', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'O']
My immune system is low due to this fibromyalgia medication .;;fibromyalgia medication;immune system is low;1;['My', 'immune', 'system', 'is', 'low', 'due', 'to', 'this', 'fibromyalgia', 'medication', '.'];['O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
USER Those numbers look good but I would see a doctor to find out why the glucose level is going up .;;glucose level is going up;see a doctor;1.0;['USER', 'Those', 'numbers', 'look', 'good', 'but', 'I', 'would', 'see', 'a', 'doctor', 'to', 'find', 'out', 'why', 'the', 'glucose', 'level', 'is', 'going', 'up', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
USER Last time I had a conversation with my Type 1 diabetic father , he was deciding between the pet grade $ 25 / week Walmart stuff versus the human grade $ 300 / week stuff , due to his fixed income .;;fixed income;deciding between the pet-grade $ 25 / week Walmart stuff versus the human-grade $ 300 / week stuff;1.0;['USER', 'Last', 'time', 'I', 'had', 'a', 'conversation', 'with', 'my', 'Type', '1', 'diabetic', 'father', ',', 'he', 'was', 'deciding', 'between', 'the', 'pet', 'grade', '$', '25', '/', 'week', 'Walmart', 'stuff', 'versus', 'the', 'human', 'grade', '$', '300', '/', 'week', 'stuff', ',', 'due', 'to', 'his', 'fixed', 'income', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
Doctor gave me strict orders to eat nothing but healthy food pretty much , bc I could be at high risk of diabetes , also anemia .;;risk of diabetes;healthy food;1;['Doctor', 'gave', 'me', 'strict', 'orders', 'to', 'eat', 'nothing', 'but', 'healthy', 'food', 'pretty', 'much', ',', 'bc', 'I', 'could', 'be', 'at', 'high', 'risk', 'of', 'diabetes', ',', 'also', 'anemia', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O']
USER USER I have been told I have to self isolate for 12 weeks as I am diabetic and asthmatic .;;diabetic;self isolate;1;['USER', 'USER', 'I', 'have', 'been', 'told', 'I', 'have', 'to', 'self', 'isolate', 'for', '12', 'weeks', 'as', 'I', 'am', 'diabetic', 'and', 'asthmatic', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O']
I 'm gonna feel so accomplished the day I complete a 3 day fast .;;fast;;0;"['I', ""'m"", 'gonna', 'feel', 'so', 'accomplished', 'the', 'day', 'I', 'complete', 'a', '3', 'day', 'fast', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
The insulin / blood sugar reset will feel incredible .;;;feel incredible;0;['The', 'insulin', '/', 'blood', 'sugar', 'reset', 'will', 'feel', 'incredible', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O']
After quite a few lows yesterday this is what I wake up to today !;;;lows;0;['After', 'quite', 'a', 'few', 'lows', 'yesterday', 'this', 'is', 'what', 'I', 'wake', 'up', 'to', 'today', '!'];['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
#type1diabetes #gbdoc HTTPURL;;#type1diabetes;;0;['#type1diabetes', '#gbdoc', 'HTTPURL'];['I-C', 'O', 'O']
Usually when u pee a lot it could be diabetes or pregnancy but I 'm pretty sure that 's not the case I been drinking a lot of water but that was way earlier ain't no way I should still b pissing but when u about to start your monthly you do tend to pee a lot also .;;diabetes;pee;1;"['Usually', 'when', 'u', 'pee', 'a', 'lot', 'it', 'could', 'be', 'diabetes', 'or', 'pregnancy', 'but', 'I', ""'m"", 'pretty', 'sure', 'that', ""'s"", 'not', 'the', 'case', 'I', 'been', 'drinking', 'a', 'lot', 'of', 'water', 'but', 'that', 'was', 'way', 'earlier', ""ain't"", 'no', 'way', 'I', 'should', 'still', 'b', 'pissing', 'but', 'when', 'u', 'about', 'to', 'start', 'your', 'monthly', 'you', 'do', 'tend', 'to', 'pee', 'a', 'lot', 'also', '.']";['O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER Actually my husbands pancreas produces no insulin .;;pancreas produces no insulin;;0;['USER', 'Actually', 'my', 'husbands', 'pancreas', 'produces', 'no', 'insulin', '.'];['O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
With your bullshit plan , he would be dead inside of 48 ours more than likely .;;;dead;0;['With', 'your', 'bullshit', 'plan', ',', 'he', 'would', 'be', 'dead', 'inside', 'of', '48', 'ours', 'more', 'than', 'likely', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER USER I dont have diabetes ( either Type ) but I know when i am really really hungry and get tingling lips and sweat I get headache .. brain not like low blood glucose;mE;low blood glucose;"hungry;tingling lips;headache";1.0;['USER', 'USER', 'USER', 'I', 'dont', 'have', 'diabetes', '(', 'either', 'Type', ')', 'but', 'I', 'know', 'when', 'i', 'am', 'really', 'really', 'hungry', 'and', 'get', 'tingling', 'lips', 'and', 'sweat', 'I', 'get', 'headache', '..', 'brain', 'not', 'like', 'low', 'blood', 'glucose'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C']
I do n't mind the glucose test so much , but that shot hurts like hell .;;glucose test;shot hurts;1;"['I', 'do', ""n't"", 'mind', 'the', 'glucose', 'test', 'so', 'much', ',', 'but', 'that', 'shot', 'hurts', 'like', 'hell', '.']";['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O']
I really hate diabetes .;;diabetes;hate;1;['I', 'really', 'hate', 'diabetes', '.'];['O', 'O', 'I-E', 'I-C', 'O']
USER My father USER 80 , lost his eyesight completely 6/200 levels due to diabetes .;;diabetes;lost his eyesight;1;['USER', 'My', 'father', 'USER', '80', ',', 'lost', 'his', 'eyesight', 'completely', '6/200', 'levels', 'due', 'to', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
what people think diabetes is like : boo hoo i ate too much sugar and now i cant have ANY what diabetes is actually like : 3am low blood sugar manic cracker run;;low blood sugar ;cracker run;1.0;['what', 'people', 'think', 'diabetes', 'is', 'like', ':', 'boo', 'hoo', 'i', 'ate', 'too', 'much', 'sugar', 'and', 'now', 'i', 'cant', 'have', 'ANY', 'what', 'diabetes', 'is', 'actually', 'like', ':', '3am', 'low', 'blood', 'sugar', 'manic', 'cracker', 'run'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'I-E', 'I-E']
USER USER im type 2 diabetic , the pens i get are from the EU as well , UK GOV have had ample time to look at all the ramifications on medication & they have sat on their hands arguing with fellow tories , indy is the only way forward for scotland;;type 2 diabetic;pens;1.0;['USER', 'USER', 'im', 'type', '2', 'diabetic', ',', 'the', 'pens', 'i', 'get', 'are', 'from', 'the', 'EU', 'as', 'well', ',', 'UK', 'GOV', 'have', 'had', 'ample', 'time', 'to', 'look', 'at', 'all', 'the', 'ramifications', 'on', 'medication', '&', 'they', 'have', 'sat', 'on', 'their', 'hands', 'arguing', 'with', 'fellow', 'tories', ',', 'indy', 'is', 'the', 'only', 'way', 'forward', 'for', 'scotland'];['O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER I 've tested insulin 4 5 times in the last few years .. the only low was taken in the afternoon after fasting all day .;;fasting;low;1;"['USER', 'I', ""'ve"", 'tested', 'insulin', '4', '5', 'times', 'in', 'the', 'last', 'few', 'years', '..', 'the', 'only', 'low', 'was', 'taken', 'in', 'the', 'afternoon', 'after', 'fasting', 'all', 'day', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O']
The lower carb I go the higher it seems to get .;;;low;0;['The', 'lower', 'carb', 'I', 'go', 'the', 'higher', 'it', 'seems', 'to', 'get', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Almost every elderly member of the family has diabetes .;;diabetes;;0;['Almost', 'every', 'elderly', 'member', 'of', 'the', 'family', 'has', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
Thus my systems is now in habit of making tea first without sugar , N then adding just a little for rest of the people .;;;without sugar;0;['Thus', 'my', 'systems', 'is', 'now', 'in', 'habit', 'of', 'making', 'tea', 'first', 'without', 'sugar', ',', 'N', 'then', 'adding', 'just', 'a', 'little', 'for', 'rest', 'of', 'the', 'people', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
We take care of sugar intake and avoid outside food .;mE;;"take care of sugar intake;avoid outside food";0;['We', 'take', 'care', 'of', 'sugar', 'intake', 'and', 'avoid', 'outside', 'food', '.'];['O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'I-E', 'I-E', 'I-E', 'O']
USER I have diabetes so I 'm part of the critically vulnerable group;;diabetes;vulnerable;1.0;"['USER', 'I', 'have', 'diabetes', 'so', 'I', ""'m"", 'part', 'of', 'the', 'critically', 'vulnerable', 'group']";['O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O']
I lost my brother today from complications of diabetes .;;complications of diabetes;lost my brother;1;['I', 'lost', 'my', 'brother', 'today', 'from', 'complications', 'of', 'diabetes', '.'];['O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O']
My diabetes is fucked and I can't afford groceries .;;diabetes;;0;"['My', 'diabetes', 'is', 'fucked', 'and', 'I', ""can't"", 'afford', 'groceries', '.']";['O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I 'm so fucking stressed , depressed and anxious .;mE;;"stressed;depressed;anxious";0;"['I', ""'m"", 'so', 'fucking', 'stressed', ',', 'depressed', 'and', 'anxious', '.']";['O', 'O', 'O', 'O', 'I-E', 'O', 'I-E', 'O', 'I-E', 'O']
And coming while the guy who died for lack of $ 50 for his insulin is still in the ( Twitter ) news , could not be more timely .;;lack of $ 50 for his insulin;died;1.0;['And', 'coming', 'while', 'the', 'guy', 'who', 'died', 'for', 'lack', 'of', '$', '50', 'for', 'his', 'insulin', 'is', 'still', 'in', 'the', '(', 'Twitter', ')', 'news', ',', 'could', 'not', 'be', 'more', 'timely', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
You can get decent blood sugar numbers by avoiding carbs , or you can reduce body fat and fat intake and reverse insulin resistance .;;reduce body fat;reverse insulin resistance;1;['You', 'can', 'get', 'decent', 'blood', 'sugar', 'numbers', 'by', 'avoiding', 'carbs', ',', 'or', 'you', 'can', 'reduce', 'body', 'fat', 'and', 'fat', 'intake', 'and', 'reverse', 'insulin', 'resistance', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
""" pussy so sweet "" i 'm sorry but that girl has diabetes , please help spread this awareness to USER USER HTTPURL";;diabetes;spread this awareness;1.0;"['""', 'pussy', 'so', 'sweet', '""', 'i', ""'m"", 'sorry', 'but', 'that', 'girl', 'has', 'diabetes', ',', 'please', 'help', 'spread', 'this', 'awareness', 'to', 'USER', 'USER', 'HTTPURL']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O']
Pins in my arm and diabetic .;;diabetic;Pins in my arm;1;['Pins', 'in', 'my', 'arm', 'and', 'diabetic', '.'];['I-E', 'I-E', 'I-E', 'I-E', 'O', 'I-C', 'O']
USER I called the Texas Dept of Health , and asked if any of these kids are diabetic , if someone is sitting up with them at 3am when they have blood sugar lows , to avoid coma / death , and asked if parents given dly blood sugar updates .;;diabetic;blood sugar lows;1;['USER', 'I', 'called', 'the', 'Texas', 'Dept', 'of', 'Health', ',', 'and', 'asked', 'if', 'any', 'of', 'these', 'kids', 'are', 'diabetic', ',', 'if', 'someone', 'is', 'sitting', 'up', 'with', 'them', 'at', '3am', 'when', 'they', 'have', 'blood', 'sugar', 'lows', ',', 'to', 'avoid', 'coma', '/', 'death', ',', 'and', 'asked', 'if', 'parents', 'given', 'dly', 'blood', 'sugar', 'updates', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
